    0.00   0.74986E-06 
    2.00   0.72457E-06 
    4.00   0.65371E-06 
    6.00   0.55132E-06 
    8.00   0.43767E-06 
   10.00   0.33534E-06 
   12.00   0.26506E-06 
   14.00   0.24199E-06 
   16.00   0.27332E-06 
   18.00   0.35716E-06 
   20.00   0.48312E-06 
   22.00   0.63395E-06 
   24.00   0.78829E-06 
   26.00   0.92376E-06 
   28.00   0.10203E-05 
   30.00   0.10631E-05 
   32.00   0.10449E-05 
   34.00   0.96677E-06 
   36.00   0.83837E-06 
   38.00   0.67611E-06 
   40.00   0.50059E-06 
   42.00   0.33336E-06 
   44.00   0.19355E-06 
   46.00   0.95102E-07 
   48.00   0.44996E-07 
   50.00   0.42738E-07 
   52.00   0.81134E-07 
   54.00   0.14805E-06 
   56.00   0.22881E-06 
   58.00   0.30865E-06 
   60.00   0.37494E-06 
   62.00   0.41876E-06 
   64.00   0.43567E-06 
   66.00   0.42567E-06 
   68.00   0.39261E-06 
   70.00   0.34296E-06 
   72.00   0.28456E-06 
   74.00   0.22530E-06 
   76.00   0.17196E-06 
   78.00   0.12955E-06 
   80.00   0.10083E-06 
   82.00   0.86394E-07 
   84.00   0.84918E-07 
   86.00   0.93674E-07 
   88.00   0.10914E-06 
   90.00   0.12757E-06 
   92.00   0.14556E-06 
   94.00   0.16034E-06 
   96.00   0.17009E-06 
   98.00   0.17389E-06 
  100.00   0.17174E-06 
  102.00   0.16432E-06 
  104.00   0.15283E-06 
  106.00   0.13871E-06 
  108.00   0.12345E-06 
  110.00   0.10841E-06 
  112.00   0.94699E-07 
  114.00   0.83117E-07 
  116.00   0.74118E-07 
  118.00   0.67843E-07 
  120.00   0.64166E-07 
  122.00   0.62763E-07 
  124.00   0.63175E-07 
  126.00   0.64884E-07 
  128.00   0.67365E-07 
  130.00   0.70138E-07 
  132.00   0.72798E-07 
  134.00   0.75033E-07 
  136.00   0.76634E-07 
  138.00   0.77491E-07 
  140.00   0.77577E-07 
  142.00   0.76937E-07 
  144.00   0.75666E-07 
  146.00   0.73887E-07 
  148.00   0.71735E-07 
  150.00   0.69340E-07 
  152.00   0.66816E-07 
  154.00   0.64254E-07 
  156.00   0.61722E-07 
  158.00   0.59262E-07 
  160.00   0.56902E-07 
  162.00   0.54656E-07 
  164.00   0.52535E-07 
  166.00   0.50553E-07 
  168.00   0.48728E-07 
  170.00   0.47089E-07 
  172.00   0.45670E-07 
  174.00   0.44511E-07 
  176.00   0.43650E-07 
  178.00   0.43119E-07 
