34
Carbon
0.00000 0.0000 
7.90000 0.0000 
8.00000 0.0050
8.10000 0.0080 
8.20000 0.0110 
8.30000 0.0140
8.40000 0.0170 
8.51000 0.0200 
9.00000 0.0300
10.0000 0.0600 
11.0000 0.1100 
12.0000 0.1500
12.9000 0.1900 
14.1000 0.2300 
15.5000 0.3160
18.8000 0.2830 
20.0000 0.2800 
22.0000 0.2500
24.0000 0.2100 
26.0000 0.2000 
28.0000 0.1800
30.0000 0.1550 
35.0000 0.1240 
40.0000 0.0960
45.0000 0.0750 
50.0000 0.0570 
55.0000 0.0460
60.0000 0.0360 
65.0000 0.0300 
70.0000 0.0230
80.0000 0.0150 
100.000 0.0120
126.000	0.0090
999.000	0.0090





