31
Carbon
0.00000 0.00000
6.60000 0.00000
6.63000 0.01200
6.97000 0.01500
7.33000 0.03500
7.40000 0.04000
7.50000 0.04500 
8.00000 0.09000 
9.00000 0.13000
10.0000 0.13000 
12.0000 0.10000 
16.0000 0.07500
18.0000 0.06400 
20.0000 0.05600 
22.0000 0.05200
24.0000 0.04800 
26.0000 0.04500 
28.0000 0.04200
30.0000 0.03800 
35.0000 0.03200 
40.0000 0.02800 
45.0000 0.02400 
50.0000 0.02000
55.0000 0.01800 
60.0000 0.01700 
65.0000 0.01600 
70.0000 0.01400 
80.0000 0.01000 
101.000 0.00800
126.000 0.00500
999.000 0.00500






