Si_0                                   31                  0 
Si_1                                   33                  1  
Si_2                     				       35	                 2
Si_3                                   8                   3               
Si_4                                   9                   4               
Si_5                                   10                  5                             
Si_6                                   34                  6
Si_7                                   12                  7               
Si_8                                   13                  8               
Si_9                                   32                  9  
Si_10                                  29                  10
Si_11                                  16                  11               
Si_12                                  17                  12               
Si_13                                  18                  13               
Si_14                                  19                  14                             
Si_15                                  27                  15
Si_16                                  22                  16               
Si_17                                  23                  17               
Si_18                                  24                  18                                                                                      
Si_19                                  14                  19            
             
               
            
              
              
