0	0	0	0		0	32
0	0	0	1		1	32
0	0	0	2		0	33
0	0	0	3		1	33
0	0	0	4		0	34
0	0	0	5		1	34
0	0	0	6		0	35
0	0	0	7		1	35
0	0	0	8		0	36
0	0	0	9		1	36
0	0	0	10		0	37
0	0	0	11		-1	-1
0	0	0	12		1	37
0	0	0	13		0	38
0	0	0	14		1	38
0	0	0	15		0	39
0	0	0	16		1	39
0	0	0	17		0	40
0	0	0	18		1	40
0	0	0	19		0	41
0	0	0	20		1	41
0	0	0	21		0	42
0	0	0	22		-1	-1
0	0	0	23		1	42
0	0	0	24		0	43
0	0	0	25		1	43
0	0	0	26		0	44
0	0	0	27		1	44
0	0	0	28		0	45
0	0	0	29		1	45
0	0	0	30		0	46
0	0	0	31		1	46
0	0	0	32		0	47
0	0	0	33		1	47
0	0	0	34		0	48
0	0	0	35		1	48
0	0	0	36		0	49
0	0	0	37		1	49
0	0	0	38		0	50
0	0	0	39		1	50
0	0	0	40		0	51
0	0	0	41		1	51
0	0	0	42		0	52
0	0	0	43		1	52
0	0	0	44		0	53
0	0	0	45		-1	-1
0	0	0	46		1	53
0	0	0	47		0	54
0	0	0	48		1	54
0	0	0	49		0	55
0	0	0	50		1	55
0	0	0	51		0	56
0	0	0	52		1	56
0	0	0	53		0	57
0	0	0	54		1	57
0	0	0	55		0	58
0	0	0	56		-1	-1
0	0	0	57		1	58
0	0	0	58		0	59
0	0	0	59		1	59
0	0	0	60		0	60
0	0	0	61		1	60
0	0	0	62		0	61
0	0	0	63		1	61
0	0	0	64		0	62
0	0	0	65		1	62
0	0	0	66		0	63
0	0	0	67		1	63
0	0	1	0		0	0
0	0	1	1		1	0
0	0	1	2		0	1
0	0	1	3		1	1
0	0	1	4		0	2
0	0	1	5		1	2
0	0	1	6		0	3
0	0	1	7		1	3
0	0	1	8		0	4
0	0	1	9		1	4
0	0	1	10		0	5
0	0	1	11		-1	-1
0	0	1	12		1	5
0	0	1	13		0	6
0	0	1	14		1	6
0	0	1	15		0	7
0	0	1	16		1	7
0	0	1	17		0	8
0	0	1	18		1	8
0	0	1	19		0	9
0	0	1	20		1	9
0	0	1	21		0	10
0	0	1	22		-1	-1
0	0	1	23		1	10
0	0	1	24		0	11
0	0	1	25		1	11
0	0	1	26		0	12
0	0	1	27		1	12
0	0	1	28		0	13
0	0	1	29		1	13
0	0	1	30		0	14
0	0	1	31		1	14
0	0	1	32		0	15
0	0	1	33		1	15
0	0	1	34		0	16
0	0	1	35		1	16
0	0	1	36		0	17
0	0	1	37		1	17
0	0	1	38		0	18
0	0	1	39		1	18
0	0	1	40		0	19
0	0	1	41		1	19
0	0	1	42		0	20
0	0	1	43		1	20
0	0	1	44		0	21
0	0	1	45		-1	-1
0	0	1	46		1	21
0	0	1	47		0	22
0	0	1	48		1	22
0	0	1	49		0	23
0	0	1	50		1	23
0	0	1	51		0	24
0	0	1	52		1	24
0	0	1	53		0	25
0	0	1	54		1	25
0	0	1	55		0	26
0	0	1	56		-1	-1
0	0	1	57		1	26
0	0	1	58		0	27
0	0	1	59		1	27
0	0	1	60		0	28
0	0	1	61		1	28
0	0	1	62		0	29
0	0	1	63		1	29
0	0	1	64		0	30
0	0	1	65		1	30
0	0	1	66		0	31
0	0	1	67		1	31
0	0	2	0		2	32
0	0	2	1		3	32
0	0	2	2		2	33
0	0	2	3		3	33
0	0	2	4		2	34
0	0	2	5		3	34
0	0	2	6		2	35
0	0	2	7		3	35
0	0	2	8		2	36
0	0	2	9		3	36
0	0	2	10		2	37
0	0	2	11		-1	-1
0	0	2	12		3	37
0	0	2	13		2	38
0	0	2	14		3	38
0	0	2	15		2	39
0	0	2	16		3	39
0	0	2	17		2	40
0	0	2	18		3	40
0	0	2	19		2	41
0	0	2	20		3	41
0	0	2	21		2	42
0	0	2	22		-1	-1
0	0	2	23		3	42
0	0	2	24		2	43
0	0	2	25		3	43
0	0	2	26		2	44
0	0	2	27		3	44
0	0	2	28		2	45
0	0	2	29		3	45
0	0	2	30		2	46
